"","tve_user_id","ft_start","ft_end"
"637",16638315,2017-05-21,2017-06-20
"638",16640928,2017-05-21,2017-06-20
"639",16641526,2017-05-21,2017-06-20
"640",16645125,2017-05-21,2017-06-20
"641",16645307,2017-05-21,2017-06-20
"642",16645216,2017-05-21,2017-06-20
"643",16645694,2017-05-21,2017-06-20
"644",16646803,2017-05-21,2017-06-20
"645",16646039,2017-05-21,2017-06-20
"646",16647604,2017-05-21,2017-06-20
"647",16648125,2017-05-21,2017-06-20
"648",16649091,2017-05-21,2017-06-20
"649",16649041,2017-05-21,2017-06-20
"650",16650168,2017-05-21,2017-06-20
"651",16650855,2017-05-21,2017-06-20
"652",16653434,2017-05-22,2017-06-21
"653",16653431,2017-05-22,2017-06-21
"654",16654738,2017-05-22,2017-06-21
"655",16657310,2017-05-22,2017-06-21
"656",16659104,2017-05-22,2017-06-21
"657",16660293,2017-05-22,2017-06-21
"658",16661969,2017-05-22,2017-06-21
"659",16662422,2017-05-22,2017-06-21
"660",16667396,2017-05-22,2017-06-21
